video_name,ground_truth,model_name,template_type,predicted_category,response,num_segment
Stealing079_x264.mp4,Stealing,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Shooting022_x264.mp4,Shooting,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Burglary035_x264.mp4,Burglary,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Shooting028_x264.mp4,Shooting,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Burglary032_x264.mp4,Burglary,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Normal_Videos_884_x264.mp4,Normal,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Normal_Videos_345_x264.mp4,Normal,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,normal,"{""category"": ""normal""}",8
RoadAccidents021_x264.mp4,RoadAccidents,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Shooting043_x264.mp4,Shooting,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Normal_Videos_702_x264.mp4,Normal,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,normal,"{""category"": ""normal""}",8
Shoplifting016_x264.mp4,Shoplifting,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,abnormal,"{""category"": ""abnormal""}",8
Normal_Videos_041_x264.mp4,Normal,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,normal,"{""category"": ""normal""}",8
Normal_Videos_780_x264.mp4,Normal,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,normal,"{""category"": ""normal""}",8
Normal_Videos_056_x264.mp4,Normal,backseollgi/InternVL3-2B_lora_HIVAU_UCF-crime,binary,normal,"{""category"": ""normal""}",8
